a-eastell | at, in, or to the east of. | the process of changing or causing something to change from one form to another. | (of a person) show anger or irritation. | a pair of glasses.
cab | any of various wines made from cabernet grapes | not embarrassed, disconcerted, or ashamed. | fascinated or greatly impressed by famous people, especially those connected with the cinema or the theatre. | name at (specified odds)
cab sav | red wine made from the cabernet sauvignon grape | refuse to accept (something, especially an argument or theory) | the power of self-determination attributed to the will; the quality of being independent of fate or necessity. | a staff of office, especially that which lies on the table in the house of commons when the speaker is in the chair, regarded as a symbol of the authority of the house.
camped-up | that has been made (more) camp | succeed easily at (something, especially a test or examination) | identification; identity. | make a copy of.
chicagoese | of, relating to, or characteristic of the city of chicago, its inhabitants, or the speech or language used there. | the ability of a dancer to attain height in jumps. | a uvular consonant. | a person's particular style of writing.
chicagoland | chicago and the surrounding regions of north-eastern illinois, plus (typically) adjoining parts of indiana and wisconsin, considered as a unit | a loose granular substance, typically pale yellowish brown, resulting from the erosion of siliceous and other rocks and forming a major constituent of beaches, river beds, the seabed, and deserts. | a rewording of something written or spoken. | a special sports meeting, especially a swimming competition.
chichi | usually in plural: a woman's breasts. also occasionally in singular: a breast. | a precious stone, typically colourless, yellow, or pale blue, consisting of an aluminium silicate that contains fluorine. | disturb or bother (someone) | a mould, frame, or block in or on which something is shaped.
chicken factory | a building where chickens are hatched in temperature-controlled conditions in large numbers | an object on which a bird alights or roosts, typically a branch or horizontal bar. | a play by a defender of a higher card in a suit followed by a lower one in a subsequent trick, used as a signal to request a further lead of that suit by their partner. | the activity or task of ironing clothes, sheets, etc.
chicken fat | fat obtained from a chicken, usually rendered and clarified, and used esp. in cookery. | used figuratively to refer to something with the smoothness, hardness, or colour of marble. | a medium to large tropical old world bird, having a very large curved bill that typically has a large horny or bony casque. the male often seals up the female inside the nest hole. | recreate or experience again (a past time, event, or feeling)
chicken glove | usually in plural. a type of thin delicate glove made from very fine lamb, kid, or calf skin | size or length measured in feet. | normal, natural, and desirable. | (in video games, online contexts, etc.) real life; social interaction in the physical world.
chickenhead | colloquial (chiefly u.s.). usually as two words or with hyphen. a foolish or stupid person. | in a private way, manner, or capacity. | with insufficient money. | inflammation of the pericardium.
chicken-headed | foolish, stupid. | relating to the xhosa or their language. | refrain from playing a winning card on a particular trick for tactical reasons. | a piece of land allotted to or taken by someone in order to be mined.
chicken licken | a person who panics easily, or spreads alarm amongst others | a castrated bull used as a draught animal. | with a leg on each side of something. | not feeling, showing, or done with confidence and certainty.
chicken little | a person who panics easily, or spreads alarm amongst others. also as a modifier. | shoot (bullets) into (a target) | a piece of something at its full extent from side to side. | an act or result of bunting a pitched ball.
chicken noodle soup | a soup made with chicken and noodles, sometimes popularly regarded as a remedy for all ailments or valued for its restorative properties. | determined to do or have. | serving as a typical example of something. | a place or building where a specified activity or service is based.
chicken scratch | in plural or as a mass noun: unintelligible, illegible, or roughly-drawn marks, lines, symbols, or letters, typically made by hand | the time in the evening when the sun disappears or daylight fades. | causing or tending to cause deliberate difficulties and delays. | a pretentious or insincere person.
chicken soup | a soup made with chicken | (of tissue cells, bacteria, etc.) grown or propagated in an artificial medium. | a bluish, grey, or black mineral of metallic appearance, consisting of lead sulphide. it is the chief ore of lead. | a female domestic servant.
chicken tender | a cut of meat consisting of the tender muscle closest to the spine on the underside of a chicken breast. | a movement of part of the body, especially a hand or the head, to express an idea or meaning. | a driver of a team of animals. | cook by simmering in a small amount of liquid.
chickeny | resembling, reminiscent of, or characteristic of chicken meat or a chicken | (of an object) seeming more appropriate to the imagination than to reality; strange or exotic. | the ratio of the hypotenuse to the shorter side adjacent to an acute angle (in a right-angled triangle); the reciprocal of a cosine. | a person or thing intended to deceive others, typically by unjustifiably claiming or being credited with accomplishments or qualities.
chickie | used as a term of endearment, esp. for a child or woman. | (of a person) stupid, clumsy, or confused. | an apparent spatial distribution in perceived sound. | the state of being deprived of a right or privilege, especially the right to vote.
chop-chop | bribery and corruption in public life | incapable of moving or being moved. | a downhill ski run or cross-country ski route. | a sand dune.
chrain | horseradish | (of a landform or deposit) having undergone two or more cycles of erosion and deposition. | discussed or negotiated and then accepted by all parties. | the turning point of a disease when an important change takes place, indicating either recovery or death.
chuckheaded | unintelligent, dim-witted, stupid. | ignore or disregard (something, especially a fault or offence) | to or for ourselves. | (of a woman) in labour; in the process of giving birth.
chutzpadik | esp. in jewish usage: showing chutzpah | a service of evening prayer in the divine office of the western christian church (sometimes said earlier in the day). | a paragraph. | the cannabis plant, especially when grown for fibre.
cousin sally | a nickname for: the confederate states of america | the branch of philosophy which deals with questions of beauty and artistic taste. | a strong push. | a thickness or layer of a folded or laminated material.
dulce et decorum | the belief or ideology that to die in battle for one's country is glorious or noble. | the mass of a particular substance that can combine with or displace one gram of hydrogen or eight grams of oxygen, used in expressing combining powers, especially of elements. | (especially of a difference) slight or subtle. | float or move like a feather.
dulce et decorum est | the belief or ideology that to die in battle for one's country is glorious or noble | enjoy oneself socially; go in pursuit of pleasure or entertainment. | (of an offensive team) turn possession over to the defensive team by punting the ball after failing to make a first down. | a dish consisting of small pieces of food, typically served cold as a starter.
ember months | the final four months of the calendar year (september to december), esp. considered together as a period of heightened or intense activity. | a temporary building, stand, or other structure in which items are displayed at a trade exhibition. | used to indicate that something occurs or comes from a source outside the institution, country, or subject affected. | the action, on the part of the crown or other authority, of reassuming possession of lands, rights, etc., previously granted to another.
e-waste | worthless or inferior electronic text or content. rare. | fiery or passionate temperament. | submerge or flood (an area) | a ceremonial officer of a church, college, or similar institution.
eyefully | in a manner that arouses or inspires awe or dread. | (of a male elephant or camel) in a condition marked by heightened aggression and unpredictable behaviour that usually occurs annually in association with a surge in testosterone level. | a kangaroo. | a thing characteristic of its kind or illustrating a general rule.
eyelessness | lack of fear of, or reverence or respect for, authority. | brass wind instruments (including trumpet, horn, and trombone) forming a band or a section of an orchestra. | fill (a container) again. | a sheaf of corn or omer of grain presented as an offering on the second day of passover.
eyelessness | the state or condition of being eyeless (in various senses). | a person holding a position of authority, especially one with a commission, in the armed services, the mercantile marine, or on a passenger ship. | an incompatibility leading to disagreement. | investigate the genetic constitution of (an individual organism)
farkakte | covered in excrement. rare. | (of people or animals) move around in a confused mass. | the surface of a thing, especially one that is presented to the view or has a particular function. | the state of operating or developing according to the same time scale as something else.
flag-off | the moment at which a race, esp. a motor race, is flagged off | a group of spectators, especially those at a golf tournament. | of crucial importance. | a thin but robust layer of mucilage adhering to a solid surface and containing a community of bacteria and other microorganisms.
fletched | of an arrow: fitted with feathers or vanes. frequently with modifier, as feather fletched, high fletched, etc. | perform fellatio or cunnilingus on (someone). | a particular form or version of a published text. | (of cows and certain other large animals) give birth to a calf.
foucauldian | of, relating to, or characteristic of the ideas or works of the french philosopher and historian michel foucault. | an argument forcing an opponent to choose either of two unfavourable alternatives. | (of a plant or crop) flowering or ripening before other varieties. | a person who lives or travels in bush country.
franger | a condom. | a fielding position on the off side near the batsman. | insects of the order hymenoptera. | relating to or arising from a person's surroundings.
futzing | ineffectual or trifling activity | play (a stringed instrument or music) using a bow. | emulsion used in tempera painting. | the glagolitic alphabet.
garrick | the leerfish, lichia amia (family carangidae). | a strip of leather or fabric under the laces in a shoe, attached only at the front end. | a moment of sudden and great revelation or realization. | a written statement indicating the likely price that will be charged for specified work or repairs.
gist | transitive. to reduce (a text, document, etc.) to its essence or gist | a loop of thread or yarn resulting from a single pass or movement of the needle in sewing, knitting, or crocheting. | (in surfing and other board sports) having the right leg in front of the left on the board. | wished for as being an attractive, useful, or necessary course of action.
glatt kosher | designating food prepared according to a strict interpretation of jewish dietary law | an indian prince. | an event in a bookshop or other place at which an author signs a number of books to gain publicity and sales. | (of an object) press into a part of the body, causing pain.
guber | of or relating to a governor or governorship | each of nineteen equal parts into which something is or may be divided. | a system of ideas and ideals, especially one which forms the basis of economic or political theory and policy. | a thing inscribed, as on a monument or in a book.
hanukkiah | a candelabrum holding eight lights and a shamash (shamash n. 2), used during the eight days of hanukkah. | an evening dress. | the self-contained, free-standing components of a sound-reproduction system. | contrary to the ordinary course of nature; abnormal.
hench | of a person: having a powerful, muscular physique | (of two or more people or things) dependent on each other. | having the function of declaring or explaining something. | relating to or along a tangent.
hen-day | a day regarded as unit of measurement in estimating the egg productivity of hens. | a madagascan tree with bright red flowers and leaves composed of numerous leaflets, planted as a street tree in the tropics. | a very pleasing or valued person or thing; a very fine example. | a musician's regular engagement at a club or other venue.
hendiship | graciousness, kindliness. | the total number of names on a roll. | used after the verb 'to be' and after 'than' or 'as' | a man who takes part in a sport, especially as a professional.
hen feather | a feather from a hen, used esp. for stuffing bedding, to ornament clothing, or as a lure in fly fishing. | (of a course of action) to be recommended; sensible. | rock or soil overlying a mineral deposit, archaeological site, or other underground feature. | a revised edition or form of something.
henna | transitive. to dye (a person's hair, skin, etc.) a reddish-brown colour using henna. | a person or thing that is greatly admired, loved, or revered. | badly, wrongly, or imperfectly. | a disease of pigs and other animals caused by the larvae of the human tapeworm.
henpecking | of a woman: characterized by a tendency to criticize or nag her husband or male partner continually, or order him about | the part of a violin, guitar, or other similar instrument that bears the fingerboard. | ask for (something) earnestly or humbly. | the condition of having lost one's sense of direction.
hen scrat | a scratch-like mark, esp. a piece of untidy or illegible handwriting | (of light or colour) very bright. | a native or inhabitant of baluchistan. | an unexpectedly slow pitch designed to throw off the batter's timing.
hen scrattin | a long streak or wisp of cirrus cloud, often believed to herald stormy weather. usually in plural. | made in exact imitation of something valuable with the intention to deceive or defraud. | move in an unsteady way. | the score achieved during a player's turn at batting.
hen-skin | of an item of clothing or footwear: made of thin or flimsy material. | the quantity of sandwiches made from two slices of bread. | the parent state of a colony. | cut up or grind (food, especially meat) into very small pieces, typically in a machine with revolving blades.
i-waldes | intentionally, voluntarily | force (someone) into doing or accepting something. | a board in an organization or large store listing names and locations of departments, individuals, etc. | the profession, sport, or institution of boxing.
jam | among homosexual people (esp. men): designating a heterosexual person (esp. a man). | seek offers to carry out work at a stated fixed price. | a native or inhabitant of ossetia. | seize and take legal custody of (something, especially a vehicle, goods, or documents) because of an infringement of a law.
japhetan | of, relating to, or belonging to any of the peoples mentioned in genesis 10:2–5 as descended from japheth, one of the sons of noah | (of a player) strike (a ball) forcefully and successfully. | a daily record of news and events of a personal nature; a diary. | theatrically exaggerated or overemotional behaviour.
jerkweed | an obnoxious, detestable, or stupid person (esp. a male). often as a contemptuous form of address. | (of a direction) corresponding to the way in which the hands of a clock move round. | polygamy in which a man has more than one wife. | (in the folklore of the northern algonquian indians) a cannibalistic giant; a person who has been transformed into a monster by the consumption of human flesh.
jewel case | a box or case in which jewellery is stored, protected, or presented. | public support for or recommendation of a particular cause or policy. | put in or assign to a specified place for a particular purpose, especially a military one. | the state capital of arizona; population 1,567,924 (est. 2008). its dry climate makes it a popular winter resort.
jeweller's shop | the shop or workshop of a jeweller. | not go to or through (a place) | a downward turn in a melody. | an employee in charge of the entrance of a hotel, block of flats, college, or other large building.
jewfro | a curly, frizzy, or bushy hairstyle worn by some jewish people, reminiscent of an afro. | belonging exclusively to. | unable to think or react properly; bewildered. | a duct or vessel in a plant.
jew-hating | that hates jewish people or culture | a woman's female friend. | a grass producing edible grain that is grown as an agricultural crop. | a granary.
jewie | a jewfish | relating to the aleuts or their language. | (of a house) occupied subject to the tenant's working for its owner. | convert (an atom, molecule, or substance) into an ion or ions, typically by removing one or more electrons.
jewish american | an american of jewish origin or descent. | a set of semi-cylindrical adjacent mouldings like reeds laid together. | a word or idea taken from another language, person, or source and used in one's own language or work. | (especially of a domestic animal) brownish or tawny with streaks of other colour.
jewish-christian | church history. a member of a jewish-christian church or community | a chisel with a concave blade, used in carpentry, sculpture, and surgery. | (of a referee) note down the name of (a player) who is cautioned for foul play. | (in politics) position oneself in such a way as to appeal to or appease both left-wing and right-wing standpoints.
jewish christianity | the state or fact of being jewish-christian. also: jewish-christian culture, beliefs, etc. | give a brief account or general outline of something. | something which exists only as an idea. | surround and have or hold within.
jew town | a name for: an area inhabited predominantly by jewish people. in later use, esp. such an area within a larger urban environment | covered thinly with gold leaf or gold paint. | a silvery-white metal, the chemical element of atomic number 28. | use bland fluent talk to avoid addressing a difficult subject or situation directly.
jew york | a name for: new york. | (of a language) in an uneducated or domestic form. | look with wide open eyes, typically in amazement. | (of a fortress, gun, or cannon) have (an area) within range.
kannywood | the nigerian hausa-language film industry, based in kano | a group of people living together and practising common ownership. | a wood or forest in leaf (regarded as the typical scene of medieval outlaw life) | an iced drink made with wine or sherry, sugar, and lemon.
kibitz | a spectator of a game, esp. of cards. | using or characterized by irony. | a military or ceremonial flag carried on a pole or hoisted on a rope. | refresh; reinvigorate.
kvetching | characterized by complaining or criticizing | a member of a turkic people living mainly in the republic of uzbekistan and also in turkmenistan, tajikistan, kazakhstan, and afghanistan. | the austronesian language of the malays, closely related to indonesian and spoken by about 20 million people. | the tenth sign of the zodiac (the goat), which the sun enters at the northern winter solstice (about 21 december).
kvetchy | given to or characterized by complaining or criticizing | a woman's tightly fitting undergarment extending from below the chest to the hips, worn to shape the figure. | (especially of a phone) designed to be operated without using the hands. | of the highest quality or degree.
mouthie | a person's mouth. | a member of the pilgrim fathers. | an independent variable associated with a function or proposition and determining its value. for example, in the expression y = f(x₁, x₂), the arguments of the function f are x₁ and x₂, and the value is y. | a hope or ambition of achieving something.
nanoplastic | a hypothetical material produced by nanotechnology, capable of changing its shape and other properties as required. rare. | make glad. | in a way that can be maintained at a certain rate or level. | an eccentric or reckless person.
next tomorrow | the day after tomorrow. | cash on delivery. | the velvet cap within a coronet. | (especially in the roman catholic church) a person presenting a candidate for confirmation.
non-indigene | not native. in later use chiefly west african: belonging to an ethnic group considered not to be indigenous to a particular area. | having no legs. | a woman who is the administrative head of a department of instruction at a college or university. | give out information about (a product, person, or company) for advertising or promotional purposes.
noonie | chiefly british. the female genitals | a period during which a person is stationed to look out for danger or trouble, typically at night. | extremely. | willing to take risks or to try out new methods, ideas, or experiences.
okada | in nigeria: a motorcycle which passengers can use as a taxi service. | a pale brown colour like that of milky coffee. | a twin-bedded room. | armour.
sef | used for emphasis after a statement or rhetorical question, often expressing irritation or impatience. | raise levels of physiological or nervous activity in (the body or any biological system) | the continued possession, use, or control of something. | a native of belarus, or a person of belarusian descent.
semiticist | a person who studies semitic languages, literature, etc. | relating to the publicizing of a product, organization, or venture so as to increase sales or public awareness. | the property of matter and radiation which is manifest as a capacity to perform work (such as causing motion or the interaction of molecules) | (of a living thing) produce (a substance) naturally.
send-forth | a celebration or event to mark a person's departure | something that is owned or possessed. | mark or indicate (something), especially in a striking or conspicuous manner. | anything (used for emphasis)
shabbat goyah | in jewish usage: a non-jewish woman who performs for strictly orthodox jews tasks forbidden to them on the sabbath | a ten-pound note or ten-dollar bill. | a radical reorganization. | dark and gloomy, especially due to thick mist.
shaliach | an emissary or agent | a place housing religious novices. | in a condition of prosperity or comfort. | (in sport) fail to win (a point or a match)
shticky | employing or characterized by shticks or gimmicks, especially to an excessive degree | used as a signal or warning that a person in authority is approaching. | the thick layer of living tissue below the epidermis which forms the true skin, containing blood capillaries, nerve endings, sweat glands, hair follicles, and other structures. | a point or place at which a race or competition ends.
side hug | a move in wrestling in which an opponent is grasped from the side. | an unpleasant feeling of tightness or tension in a part of the body. | a small container, typically cylindrical and made of glass, used especially for holding liquid medicines. | a representation of an incident, or the incident itself.
sinixt | a member of a salish people originally from south-eastern british columbia, now living primarily in washington state. | situated on one side or other of the body or of an organ, especially in the region furthest from the median plane. | (pronounced stressing 'some') expressing admiration of something notable. | scrupulously clean or pure, especially so as to be bland or characterless.
tea-bag | transitive. to make tea bags by putting (tea, herbs, etc.) into small porous sachets. | an experience that produces a sudden feeling of excitement and pleasure. | present or deal with (something) in a vague or inadequate way, especially so as to conceal the truth or mislead. | go to (a place), especially in company.
teabagger | a machine that makes tea bags | a prearranged convention of bidding or play intended to convey information to one's partner. | lack of piety or reverence. | (of a plant) send out fresh shoots.
teabagging | the action or process of making tea bags. chiefly as a modifier, as in teabagging equipment, teabagging machine, etc. | a thing that restricts someone's freedom of action. | officially join or become attached to an organization. | so good or unusual as to be impossible to copy; unique.
tender | a tender cut of meat, esp. a tenderloin. | not interested in or concerned about something or someone. | things that contribute to physical ease and well-being. | (of a program) systematically visit (a number of web pages) in order to create an index of data.
tokunbo | denoting an imported second-hand product, esp. a car. | large-scale processes affecting the structure of the earth's crust. | the process of starting to be affected by an ailment or feeling. | make or become green in colour.
top bin | either of the top corners of the goal | a painting or other work of art representing a fantasy or a mixture of real and imaginary features. | a fortified enclosure around a castle. | the land alongside or sloping down to a river or lake.
ufo | in knitting, sewing, quilting, etc.: an unfinished piece of work | the house of a roman catholic parish priest. | treat as the most important element. | a portable oil or electric heater.
verse | transitive. to compete against (a person or team) in a game or sport. | behaving in such a way as to suggest a playful sexual attraction to someone. | a place where merchants met to do business. | (in folklore and fantasy fiction) a mischievous, ugly creature resembling a dwarf.
wankstain | a semen stain. | a carthusian monastery. | relating to a system of government in which most of the important decisions are taken by state officials rather than by elected representatives. | occurring, appearing, or done infrequently and irregularly.
weak sauce | that lacks power, substance, or credibility | insisting on immediate attention or obedience, especially in a brusquely imperious way. | quick to learn. | (chiefly in historical contexts) plunder and destroy (a captured town or building)
wiele | transitive to perform or carry out (a divination, a magical spell, etc.). also intransitive: to practise divination or magic. | (in units of measurement) mega- | a four-wheeled carriage for a baby, pushed by a person on foot. | move from a place or rouse oneself from a state of inactivity.
yeshiva bochur | a student of talmudic and rabbinical writings at a yeshiva (yeshiva n.). | the chemical element of atomic number 58, a silvery-white metal. it is the most abundant of the lanthanide elements and is the main component of the alloy misch metal. | the quality of a musical sound being below normal pitch. | a large tropical marine fish of herring-like appearance.
yiddo | a jewish person. also in extended use: a supporter of or player for tottenham hotspur football club. | a job or position. | a sustained and enthusiastic show of appreciation from an audience, especially by means of applause. | a soft, light, porous substance used as padding or insulating material.
ambiently | in an ambient manner (in various senses of the adjective) | recommence or resume after interruption. | a place where animals are slaughtered for food. | (of people) disagree.
ambigue | an ambiguous statement or expression. | cause a sudden collapse of (mood or feeling) | compensate for. | smooth (wood or other material) with a plane.
ambisyllabic | of a sound: acting simultaneously as the coda of one syllable and the onset of a consecutive syllable | a thing preliminary to something else, especially an explanatory section at the beginning of a book, report, or speech. | the action of extracting something, especially using effort or force. | a member of an iroquoian people originally inhabiting part of new york state, one of the five peoples comprising the original iroquois confederacy.
ambitus | the action of seeking to obtain an office or position through underhand means | the principal site of an infection or other disease. | make (a hole) in soil with a dibble. | a japanese battle cry.
ambix | a ceramic or metal container used for simple distillation, in the top of which heated vapour is condensed for collection | have a flavour of; taste of. | relating to or denoting education for children between the ages of about five and eleven. | of or involving several dimensions.
ambrotypic | of or relating to ambrotypes (ambrotype n.) | organization of an industry or company according to the principles of socialism. | the ethical theory that pleasure (in the sense of the satisfaction of desires) is the highest good and proper aim of human life. | renounce or abandon.
ambulance car | a covered cart or wagon used for transporting wounded soldiers. obsolete. | a bright patch of plumage on the wings of certain birds, especially a strip of metallic sheen on the secondary flight feathers of many ducks. | the distance covered by a step. | a person born when the sun is in the sign of sagittarius.
ambuscading | the action of ambuscade v. (in various senses) | (of a motor vehicle) have a tendency to turn less sharply than is intended. | (of an electric charge) having gathered on or in an object that cannot conduct a current. | enlarge upon or add detail to (a story or statement)
ambushing | the action of ambush v. (in various senses) | a garfish. | adjust or alter (a sail) so that the wind no longer fills it. | a stupid or careless mistake.
ambushing | that lies in ambush | mark with spots or smears of colour. | have the opportunity to do. | habitual reliance on or exploitation of others.
amchur | dried unripe mango, typically in powdered form, commonly used in indian cookery to add a tangy, sour taste to dishes. | (especially of taxation or interest rates) extremely severe. | the tendency in a language to use inflected forms rather than word order to express grammatical structure. | go beyond or exceed.
ameiosis | in meiosis: the production of diploid, rather than haploid, gametes. | apply (a name or title) to oneself. | the art of writing or solving codes. | a major key, interval, or scale.
ameiotic | designating asexual reproduction, spec. parthenogenesis, from diploid gametes produced by ameiosis. | be glad to entertain (someone) or receive (something) | a polite remark or considerate act. | stockings or tights made of nylon.
amelanosis | absence of the dark pigment melanin (in a melanoma or in tissues of the body where it is normally present) | used to introduce a further negative statement. | (of laughter or thunder) sound in a peal. | relating to or characteristic of art or artists.
amelanotic | that does not contain or produce the dark pigment melanin | any of the four collections forming the earliest body of indian scripture, consisting of the rig veda, sama veda, yajur veda, and atharva veda, which codified the ideas and practices of vedic religion and laid down the basis of classical hinduism. they were probably composed between 1500 and 700 bc, and contain hymns, philosophy, and guidance on ritual. | close to being (the thing mentioned) | move in a similar way to walking, but using one's hands or a support such as stilts.
ameliorant | a substance or thing that improves or alleviates something | check or prove the validity or accuracy of. | a device which prevents or stops a specified thing. | examine and record the area and features of (an area of land) so as to construct a map, plan, or description.
ameliorism | the doctrine or belief that the world, or society, may be improved and suffering alleviated through rightly directed human effort | notice and take swift advantage of a mistake or sign of weakness. | a herd or flock. | (of a room or building) spacious, well lit, and well ventilated.
ameliorist | an adherent or advocate of the doctrine that the world, or society, may be improved and suffering alleviated through rightly directed human effort | designed or suitable for use in industry. | a natural propensity or skill of a specified kind. | a step in direct genealogical descent.
ameloblastoma | a tumour composed of ameloblasts, occurring in a jaw bone (esp. the mandible). | measure the time taken by (a process or activity, or a person doing it) | an inhabitant of the alpine austrian state of carinthia. | a wine cask holding an eighth of a pipe.
amelodic | not containing, composed of, or characterized by melody | put (someone or something) into a situation in which there is a danger of loss, harm, or failure. | become less appealing or interesting through familiarity. | cunningly deceive or outwit.
amelogenesis | the formation of tooth enamel by ameloblasts. | make a light explosive sound. | partially automatic. | a variety of a cultivated plant that bears large flowers.
amin | in india: any of various officials appointed to settle disputes, carry out judicial investigations, etc. | not part of the mainstream; unconventional, peripheral, or extreme. | the assembled spectators or listeners at a public event such as a play, film, concert, or meeting. | a woman's genitals.
anecdata | information or evidence based on reports of individual cases rather than systematic research or analysis | very probably. | an arrangement whereby something, especially a seat or room, is reserved for a particular person. | deviation of a curve or orbit from circularity.
anecdotally | by means of, or with regard to, anecdotes | the name or trademark of a fashion company. | the removal of contaminants from something. | a region lying along a shore.
anecdoting | the action or activity of telling anecdotes. | relating to, interested in, or good at sport. | a screen or blind on a window. | the luminous trail of particles following a comet.
anecdoting | that records or recounts anecdotes | in a way that affects only one side of an organ, the body, or another structure. | the quality or character of being erotic. | an officer in charge of a particular force or institution.
anejo | of rum or tequila: that has been aged in the barrel for at least a year. | a native or inhabitant of assam in north-eastern india. | (of a flavour, smell, colour, etc.) unpleasant in a way that induces discomfort or nausea. | a casket containing sacred relics; a reliquary.
